54113,"Buildout, Inc.",Ruby on Rails,frameworks
54113,"Buildout, Inc.",Sass,languages
54113,"Buildout, Inc.",Snowflake,databases
54113,"Buildout, Inc.",SQL,languages
54113,"Buildout, Inc.",Twitter Bootstrap,libraries
54113,"Buildout, Inc.",TypeScript,languages
54159,Caterpillar,Backbone.js,frameworks
54159,Caterpillar,Ember.js,frameworks
54159,Caterpillar,Hadoop,frameworks
54159,Caterpillar,Java,languages
54159,Caterpillar,JavaScript,languages
54159,Caterpillar,MySQL,databases
54159,Caterpillar,Node.js,frameworks
54159,Caterpillar,Oracle,databases
54159,Caterpillar,PostgreSQL,databases
54159,Caterpillar,Python,languages
54159,Caterpillar,R,languages
54159,Caterpillar,React,libraries
54159,Caterpillar,Redux,libraries
54159,Caterpillar,Ruby on Rails,frameworks
54159,Caterpillar,Scala,languages
54159,Caterpillar,Snowflake,databases
54159,Caterpillar,Spark,frameworks
54159,Caterpillar,Spring,frameworks
54159,Caterpillar,SQL,languages
58325,DebtBook,AWS (Amazon Web Services),services
58325,DebtBook,Docker,frameworks
58325,DebtBook,GitLab,services
58325,DebtBook,JavaScript,languages
58325,DebtBook,PostgreSQL,databases
58325,DebtBook,React,libraries
58325,DebtBook,Redis,databases
58325,DebtBook,Ruby,languages
58325,DebtBook,Ruby on Rails,frameworks
58325,DebtBook,SQL,languages
58325,DebtBook,TypeScript,languages
63480,Cloudflare,C++,languages
63480,Cloudflare,Golang,languages
63480,Cloudflare,JavaScript,languages
63480,Cloudflare,Python,languages
63480,Cloudflare,R,languages
63480,Cloudflare,React,libraries
63480,Cloudflare,SQL,languages
63536,Contentsquare,D3JS,libraries
63536,Contentsquare,JavaScript,languages
63536,Contentsquare,Python,languages
63536,Contentsquare,React,libraries
63536,Contentsquare,SQL,languages
63646,CrowdStrike,AWS (Amazon Web Services),services
63646,CrowdStrike,Cassandra,databases
63646,CrowdStrike,Elasticsearch,databases
63646,CrowdStrike,Golang,languages
63646,CrowdStrike,Kafka,frameworks
63646,CrowdStrike,Kubernetes,frameworks
63646,CrowdStrike,Python,languages
63646,CrowdStrike,Redis,databases
63657,"DailyPay, Inc.",GitHub,services
63657,"DailyPay, Inc.",JavaScript,languages
63657,"DailyPay, Inc.",jQuery,libraries
63657,"DailyPay, Inc.",Kubernetes,frameworks
63657,"DailyPay, Inc.",PostgreSQL,databases
63657,"DailyPay, Inc.",Python,languages
63657,"DailyPay, Inc.",React,libraries
63657,"DailyPay, Inc.",Redis,databases
63657,"DailyPay, Inc.",Ruby,languages
63657,"DailyPay, Inc.",Ruby on Rails,frameworks
63657,"DailyPay, Inc.",SQL,languages
63657,"DailyPay, Inc.",Terraform,frameworks
63657,"DailyPay, Inc.",TypeScript,languages
63666,Definitive Healthcare,Access,databases
63666,Definitive Healthcare,ASP.NET,frameworks
63666,Definitive Healthcare,C#,languages
63666,Definitive Healthcare,Flux,libraries
63666,Definitive Healthcare,Java,languages
63666,Definitive Healthcare,JavaScript,languages
63666,Definitive Healthcare,Microsoft Azure,services
63666,Definitive Healthcare,Microsoft SQL Server,databases
63666,Definitive Healthcare,MySQL,databases
63666,Definitive Healthcare,Node.js,frameworks
63666,Definitive Healthcare,PostgreSQL,databases
63666,Definitive Healthcare,Python,languages
63666,Definitive Healthcare,R,languages
63666,Definitive Healthcare,React,libraries
63666,Definitive Healthcare,Redux,libraries
63666,Definitive Healthcare,SQL,languages
63666,Definitive Healthcare,SQLite,databases
63666,Definitive Healthcare,Swift,languages
63666,Definitive Healthcare,Teradata,databases
63679,DISQO,AWS (Amazon Web Services),services
63679,DISQO,AWS Redshift,databases
63679,DISQO,C++,languages
63679,DISQO,GitHub,services
63679,DISQO,Golang,languages
63679,DISQO,Java,languages
63679,DISQO,JavaScript,languages
63679,DISQO,Laravel,frameworks
63679,DISQO,MySQL,databases
63679,DISQO,Node.js,frameworks
63679,DISQO,PHP,languages
63679,DISQO,PostgreSQL,databases
63679,DISQO,Python,languages
63679,DISQO,React,libraries
63679,DISQO,Redis,databases
63679,DISQO,Redux,libraries
63679,DISQO,Scala,languages
63679,DISQO,Spark,frameworks
63679,DISQO,Spring,frameworks
